n;metoda prostok¹ta;metoda trapeza;metoda simpsona;metoda prostok¹ta;metoda trapeza;metoda simpsona;metoda prostok¹ta;metoda trapeza;metoda simpsona
2;7,41E-01;3,19E-01;6,00E-01;8,70E+01;9,27E+01;8,89E+01;1,20E+02;2,04E+02;1,48E+02
3;6,53E-01;4,78E-01;5,95E-01;8,80E+01;9,06E+01;8,89E+01;1,34E+02;1,73E+02;1,47E+02
4;6,26E-01;5,30E-01;5,94E-01;8,84E+01;8,98E+01;8,89E+01;1,39E+02;1,62E+02;1,47E+02
5;6,14E-01;5,53E-01;5,94E-01;8,86E+01;8,95E+01;8,89E+01;1,42E+02;1,57E+02;1,47E+02
6;6,08E-01;5,66E-01;5,94E-01;8,87E+01;8,93E+01;8,89E+01;1,43E+02;1,54E+02;1,47E+02
7;6,04E-01;5,73E-01;5,94E-01;8,87E+01;8,92E+01;8,89E+01;1,44E+02;1,52E+02;1,47E+02
8;6,02E-01;5,78E-01;5,94E-01;8,88E+01;8,91E+01;8,89E+01;1,45E+02;1,51E+02;1,47E+02
9;6,00E-01;5,81E-01;5,94E-01;8,88E+01;8,91E+01;8,89E+01;1,45E+02;1,50E+02;1,47E+02
10;5,99E-01;5,84E-01;5,94E-01;8,88E+01;8,90E+01;8,89E+01;1,46E+02;1,49E+02;1,47E+02
11;5,98E-01;5,86E-01;5,94E-01;8,88E+01;8,90E+01;8,89E+01;1,46E+02;1,49E+02;1,47E+02
12;5,97E-01;5,87E-01;5,94E-01;8,88E+01;8,90E+01;8,89E+01;1,46E+02;1,48E+02;1,47E+02
13;5,97E-01;5,88E-01;5,94E-01;8,88E+01;8,90E+01;8,89E+01;1,46E+02;1,48E+02;1,47E+02
14;5,96E-01;5,89E-01;5,94E-01;8,88E+01;8,90E+01;8,89E+01;1,46E+02;1,48E+02;1,47E+02
15;5,96E-01;5,89E-01;5,94E-01;8,88E+01;8,89E+01;8,89E+01;1,46E+02;1,48E+02;1,47E+02
16;5,96E-01;5,90E-01;5,94E-01;8,88E+01;8,89E+01;8,89E+01;1,46E+02;1,48E+02;1,47E+02
17;5,96E-01;5,90E-01;5,94E-01;8,88E+01;8,89E+01;8,89E+01;1,46E+02;1,48E+02;1,47E+02
18;5,95E-01;5,91E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,46E+02;1,48E+02;1,47E+02
19;5,95E-01;5,91E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,46E+02;1,47E+02;1,47E+02
20;5,95E-01;5,91E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,46E+02;1,47E+02;1,47E+02
21;5,95E-01;5,92E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,46E+02;1,47E+02;1,47E+02
22;5,95E-01;5,92E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
23;5,95E-01;5,92E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
24;5,95E-01;5,92E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
25;5,95E-01;5,92E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
26;5,95E-01;5,92E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
27;5,95E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
28;5,95E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
29;5,95E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
30;5,94E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
31;5,94E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
32;5,94E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
33;5,94E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
34;5,94E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
35;5,94E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
36;5,94E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
37;5,94E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
38;5,94E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
39;5,94E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
40;5,94E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
41;5,94E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
42;5,94E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
43;5,94E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
44;5,94E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
45;5,94E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
46;5,94E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
47;5,94E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
48;5,94E-01;5,93E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
49;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
50;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
51;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
52;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
53;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
54;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
55;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
56;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
57;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
58;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
59;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
60;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
61;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
62;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
63;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
64;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
65;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
66;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
67;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
68;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
69;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
70;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
71;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
72;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
73;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
74;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
75;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
76;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
77;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
78;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
79;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
80;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
81;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
82;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
83;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
84;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
85;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
86;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
87;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
88;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
89;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
90;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
91;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
92;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
93;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
94;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
95;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
96;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
97;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
98;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
99;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
100;5,94E-01;5,94E-01;5,94E-01;8,89E+01;8,89E+01;8,89E+01;1,47E+02;1,47E+02;1,47E+02
